<<<<<<< HEAD:project I/rawData/entity_table_japan.csv
system_id,word,ner
1,江戸時代,DATE
1,利根川,LOC
1,栄えた香取市,GPE
1,東京,GPE
1,田空港,PERSON
1,江戶時代,DATE
1,利根川,LOC
1,今天,DATE
1,東京,GPE
1,成田機場,FAC
1,分鐘,TIME
2,金魚妻,PERSON
2,第四,ORDINAL
2,富士山,LOC
2,東京,GPE
3,本週六,DATE
3,日本,NORP
3,東京,GPE
3,群馬縣,GPE
3,四,CARDINAL
3,春天,DATE
3,日本,GPE
3,阿部,PERSON
3,東京,GPE
3,群馬縣,GPE
3,阿部真行水,PERSON
3,台南市立圖書館公園總館樓多功能室,FAC
3,當天,DATE
3,水上町,LOC
3,日本,GPE
3,雪國,GPE
4,北海道,GPE
4,支笏湖,LOC
4,冰濤祭,PERSON
4,大沼國定公園,FAC
4,夏天,DATE
4,冬天,DATE
4,大沼公園,FAC
4,函館元町,GPE
4,北海道,GPE
4,第二,ORDINAL
4,第次,ORDINAL
4,雪季,DATE
4,雪花,PERSON
4,台灣,GPE
4,北海道,GPE
4,冰濤祭,PERSON
4,冰濤祭,FAC
4,大沼國定公園,FAC
4,函館,GPE
4,洞爺湖,LOC
4,旭川,GPE
4,夏天,DATE
4,冬天,DATE
4,大沼公園,FAC
4,冬天,DATE
4,函館元町,GPE
4,北海道,GPE
4,北海道,GPE
4,函館公園,FAC
5,年月,DATE
5,青森,GPE
5,三,CARDINAL
5,東京,GPE
5,青森,GPE
5,十和田湖,LOC
5,第個晚上,TIME
5,晚上,TIME
5,十和田神社,FAC
5,隔天大清早,TIME
5,十和田神社,FAC
5,十和田湖,LOC
5,兩,CARDINAL
5,東京,GPE
5,十和田美術館,FAC
5,青森人,NORP
5,東京,GPE
5,青森,GPE
5,東京,GPE
5,北海道,GPE
5,春天,DATE
5,青森,GPE
5,東京,GPE
5,兩,CARDINAL
5,青森,GPE
5,雪國,PERSON
5,十和田神社,LOC
5,冬季,DATE
5,富田,PERSON
6,前天,DATE
6,東京,GPE
6,福島,GPE
6,福島,GPE
6,東京,GPE
6,福島,GPE
6,福島,GPE
6,福島,GPE
6,喜多方拉麵,PRODUCT
6,台灣,GPE
7,京都,GPE
7,去年年底到今年年初,DATE
7,日本,GPE
7,京都,GPE
7,京都,GPE
7,月底,DATE
7,清水寺,LOC
7,京都,GPE
7,年初,DATE
7,前天,DATE
7,京都,GPE
7,近年,DATE
7,當天,DATE
7,幾天後,DATE
7,大原,GPE
7,明年,DATE
7,冬季,DATE
7,京都,GPE
7,美,NORP
7,聖誕節,DATE
7,北海道,GPE
7,京都,GPE
7,前晚,TIME
7,清晨點,TIME
7,早上,TIME
7,清水寺,FAC
7,鴨川,LOC
7,京都,GPE
7,前天,DATE
7,京都,GPE
7,去年底,DATE
7,早上,TIME
7,北海道,GPE
7,隔天,DATE
7,鞍馬,GPE
7,正月,DATE
7,週末,DATE
7,下午,TIME
7,貴船神社,FAC
7,幾天,DATE
7,大原,PERSON
7,三千,CARDINAL
7,三千,CARDINAL
7,三千,CARDINAL
7,四,CARDINAL
7,去年月底,DATE
7,北海道,GPE
7,京都,GPE
7,千年,DATE
8,新潟,GPE
8,上越國際滑雪場,FAC
8,歐洲,LOC
8,歐洲,LOC
8,雪國,GPE
8,新潟縣,GPE
8,上越國際滑雪場,FAC
8,越後湯澤車站,FAC
8,萬平方米,QUANTITY
8,東京,GPE
8,幾天,DATE
8,越後湯澤車站,FAC
8,上越國際滑雪場,FAC
9,山梨縣,GPE
9,河口湖,LOC
9,富士山,LOC
9,富士山,LOC
9,年的春季,DATE
9,富士山,LOC
9,河口湖,LOC
9,中午,TIME
9,逆富士,PERSON
9,最近兩年,DATE
9,富士山,LOC
9,河口湖北岸,LOC
9,年的月,DATE
9,富士山,LOC
9,富士山,LOC
9,日本,GPE
9,富士山,LOC
9,當天,DATE
9,大早,TIME
9,新宿,GPE
9,富士,LOC
9,河口湖站,FAC
9,新宿站,FAC
9,河口湖,LOC
9,兩個小時,TIME
9,富士,LOC
9,河口湖,LOC
9,兩,CARDINAL
9,河口湖站,LOC
9,富士,LOC
9,富士,GPE
9,甲府駅,FAC
9,河口局,LOC
9,河口局,ORG
9,河口湖郵局,ORG
9,河口湖,LOC
9,河口湖美術館,FAC
9,河口湖,LOC
9,河口湖,LOC
9,河口湖郵局,FAC
9,當天,DATE
9,當天,DATE
9,遙拜所,PERSON
9,鳥居,GPE
9,富士山,LOC
9,富士山,LOC
9,個多小時,TIME
9,富士山,LOC
9,富士山,LOC
9,河口湖,LOC
9,河口湖,LOC
9,富士山,LOC
9,河口湖,LOC
9,富士,LOC
9,分鐘,TIME
9,河口湖,LOC
9,富士山,LOC
9,河口湖,LOC
9,中午,TIME
9,這天,DATE
9,富士山,LOC
9,河口湖,LOC
9,富士,LOC
10,今年,DATE
10,新年,DATE
10,日本,NORP
10,湯布院,FAC
10,晚上,TIME
10,日本,GPE
10,台灣,GPE
10,九州大分縣,GPE
10,十,CARDINAL
10,第次,ORDINAL
10,日本,NORP
10,台灣,GPE
10,台灣,GPE
10,日本,NORP
10,日期年月,DATE
11,京都,GPE
11,日本,GPE
11,京都,GPE
11,清水寺,FAC
11,柯南,PERSON
11,十字路,FAC
11,京都,GPE
11,今年初,DATE
11,清水寺,LOC
11,大阪,GPE
11,三天,DATE
11,京都,GPE
11,第天,DATE
11,大阪京都,GPE
11,第二天,DATE
11,晚町,GPE
11,樂庵,GPE
11,第三天,DATE
11,清水寺,FAC
11,鞍馬,GPE
11,今天,DATE
11,第二天,DATE
11,百萬,CARDINAL
11,京都,GPE
11,晚上,TIME
11,平安湯,GPE
11,第三天,DATE
11,清水寺,LOC
11,那天,DATE
11,隔年,DATE
11,藏王,PERSON
12,年月,DATE
12,金澤城公園,FAC
12,金澤城公園,FAC
12,六,CARDINAL
12,日本,GPE
12,日本,GPE
12,正月期間,DATE
12,金澤,GPE
12,金澤城,GPE
12,兩,CARDINAL
12,金澤城,GPE
12,六,CARDINAL
12,冬天,DATE
12,日本,GPE
12,東京,GPE
12,長野,GPE
12,白天,TIME
12,近江町,LOC
12,白川鄉,LOC
12,高山市,GPE
12,高山市,GPE
12,晚上,TIME
12,宮川,GPE
13,別府,GPE
13,鶴見岳,GPE
13,早上,TIME
13,九州自然動物園,ORG
13,龜之井,GPE
13,別府纜車站,FAC
14,中央社,ORG
